Date,E-waste(g)
2018-05-08,8073708.291398348
2018-05-09,8628344.659708682
2018-05-10,9125984.951644177
2018-05-11,7654557.942989554
2018-05-12,8654504.720085215
2018-05-13,9341167.4839476
2018-05-14,7538030.622146422
2018-05-15,8640430.198852584
2018-05-16,9358936.555507194
2018-05-17,9643691.059327878
2018-05-18,7563425.118495962
2018-05-19,8696889.126333784
2018-05-20,9067847.038163293
2018-05-21,8289364.525577031
2018-05-22,9493622.058386218
2018-05-23,8219650.62956588
2018-05-24,9080050.717839167
2018-05-25,9623209.43555865
2018-05-26,9551093.23767584
2018-05-27,9822865.64920401
2018-05-28,9443094.503314937
2018-05-29,8954617.372246737
2018-05-30,8912020.075081907
2018-05-31,10135078.990455138
2018-06-01,9894657.949831108
2018-06-02,9890186.961973287
2018-06-03,9274597.653971279
2018-06-04,9839775.864206992
2018-06-05,11584859.754848804
2018-06-06,10501483.72866592
2018-06-07,9484835.217388228
2018-06-08,10142540.621465543
2018-06-09,9805187.96817453
2018-06-10,8963126.716400076
2018-06-11,8911975.473120343
2018-06-12,9385219.609257516
2018-06-13,9447112.495118415
2018-06-14,9889807.864808721
2018-06-15,9402954.376125053
2018-06-16,10709264.08087437
2018-06-17,10993220.81740518
2018-06-18,10197007.785454562
2018-06-19,10484127.126740355
2018-06-20,10239631.189546205
2018-06-21,11433704.842817932
2018-06-22,10693315.588560108
2018-06-23,9933516.156050643
2018-06-24,11943335.17675782
2018-06-25,10959045.98113394
2018-06-26,9965708.506182121
2018-06-27,9613668.379865084
2018-06-28,9263777.567572007
2018-06-29,9760019.80813221
2018-06-30,9956963.811249748
2018-07-01,9594368.952106552
2018-07-02,9946534.148125812
2018-07-03,8553450.314832442
2018-07-04,8833736.439633327
2018-07-05,9023511.45179509
2018-07-06,10338815.105319519
2018-07-07,10955053.201370733
2018-07-08,10508449.48510651
2018-07-09,9265819.405173015
2018-07-10,9237989.189846776
2018-07-11,9032602.331831712
2018-07-12,8610496.897048764
2018-07-13,9152624.079132343
2018-07-14,8265774.427819469
2018-07-15,8408038.728865463
2018-07-16,9384252.887613755
2018-07-17,9413505.150822166
2018-07-18,11448067.583182538
2018-07-19,11779619.254480712
2018-07-20,11553038.408986427
2018-07-21,10436269.037707072
2018-07-22,10399101.70850668
2018-07-23,12040992.903025528
2018-07-24,11383387.267665735
2018-07-25,11260043.712124728
2018-07-26,11869805.938156713
2018-07-27,10794610.569221066
2018-07-28,10984560.566355964
2018-07-29,12754349.484263467
2018-07-30,10305729.314228887
2018-07-31,11110648.80568535
2018-08-01,10992688.222797185
2018-08-02,11162477.83989576
2018-08-03,11621589.494770199
2018-08-04,12407604.507525502
2018-08-05,12216435.787829926
2018-08-06,9698223.162805527
2018-08-07,9217640.399153031
2018-08-08,10478261.075451028
2018-08-09,10263157.459813852
2018-08-10,10787015.421932423
2018-08-11,12551353.295785813
2018-08-12,11747305.572034013
2018-08-13,10481108.383362923
2018-08-14,10408131.566618646
2018-08-15,10814830.185059205
2018-08-16,11331480.845247427
2018-08-17,11054186.102292763
2018-08-18,11469730.167217014
2018-08-19,11035201.851766905
